username,password,gender,contact,passport_no
ali123,MyPass123,Male,03123456789,PK123456
Abdul,Abdul1234,Male,03101126400,PK097654321789
Alqama,alqama123,Male,03216548945,PK16548
Abdul,12345678,Male,03124567892,PK178945
Ahmed,12345678,Male,03102454974,PK179451
Haider,24688462,Male,03105498344,PK259147
Faraz,FARAZ1234,Male,03101456785,PK124598
abc,abc12345,male,01234567891,PK234569
abc,abc12345,male,01234567899,PK123456
Faraz,Faraz1234,Male,03102547862,PK127455
alqama,alqama123,male,26372626,2639823863862
alqama,alqama123,male,268126386213,812381731273
Yumnah,yumnah123,female,28632662,273716312
